house_title,price,more_details_link,location
3 Bed Townhouse with En Suite in Kiambu Road,"KSh 44,900,000",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kiambu-road-3789919,Kiambu Road
4 Bed House with En Suite in Kiambu Road,"KSh 33,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3789909,Kiambu Road
5 Bed Villa with En Suite in Syokimau,"KSh 30,000,000",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-syokimau-3789913,Syokimau
4 Bed Villa with En Suite at Kahawa Sukari,"KSh 40,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kahawa-sukari-3789878,"Kahawa sukari, Kahawa Sukari, Roysambu"
4 Bed Townhouse with En Suite in Karen,"KSh 97,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3789863,Karen
5 Bed Townhouse with En Suite in Lavington,"KSh 81,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3789820,Lavington
4 Bed House with Garden in Kitengela,"KSh 12,500,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3789839,Kitengela
5 Bed Townhouse with En Suite in Lavington,"KSh 125,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3789828,Lavington
2 Bed House with En Suite at Diani Beach Road,"KSh 2,499,000",https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-diani-3789829,"Diani Beach Road, Diani"
4 Bed House with En Suite in Kitengela,"KSh 16,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3789825,Kitengela
4 Bed Villa with En Suite at Runda,"KSh 65,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-runda-3789815,"Runda, Westlands"
4 Bed Villa with En Suite at Mtwapa Lamarina,"KSh 40,000,000",https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-sale-mtwapa-3789818,"Mtwapa lamarina, Mtwapa"
4 Bed Townhouse with En Suite in Lavington,"KSh 73,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3789811,Lavington
3 Bed Villa with En Suite at Lamarina Mtwapa,"KSh 40,000,000",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-mtwapa-3789806,"Lamarina mtwap a, Lamarina Mtwapa, Mtwapa"
